,Initial Steps,Average Steps,Last Week Steps,Week Number,DiPS
0,11358.0,11993.0,12628.0,2.0,1.0
1,11358.0,12372.0,13386.0,3.0,1.0
2,11358.0,11388.0,11418.0,4.0,0.0
3,11358.0,11258.5,11159.0,5.0,0.0
4,11358.0,10776.5,10195.0,6.0,0.0
5,11358.0,11306.0,11254.0,7.0,0.0
6,11358.0,9925.5,8493.0,8.0,0.0
7,11358.0,9739.0,8120.0,9.0,0.0
8,11358.0,8582.0,5806.0,10.0,0.0
9,11358.0,11100.0,10842.0,11.0,0.0
10,11358.0,11003.5,10649.0,12.0,1.0
11,11358.0,12091.0,12824.0,13.0,1.0
12,11358.0,11462.0,11566.0,14.0,0.0
13,11358.0,9411.0,7464.0,15.0,0.0
14,11358.0,9218.0,7078.0,16.0,0.0
15,11358.0,9658.0,7958.0,17.0,0.0
16,11358.0,9866.5,8375.0,18.0,0.0
17,11358.0,11155.0,10952.0,19.0,0.0
18,11358.0,10888.0,10418.0,20.0,0.0
19,11358.0,8619.5,5881.0,21.0,0.0
20,11358.0,10033.0,8708.0,22.0,0.0
21,11358.0,10329.0,9300.0,23.0,0.0
22,11358.0,10483.0,9608.0,24.0,0.0
23,11358.0,9083.5,6809.0,25.0,0.0
24,11358.0,9805.0,8252.0,26.0,0.0
25,11358.0,8615.5,5873.0,27.0,0.0
26,11358.0,10511.0,9664.0,28.0,1.0
27,11358.0,11728.0,12098.0,29.0,1.0
28,11358.0,12236.5,13115.0,30.0,0.0
29,11358.0,10705.0,10052.0,31.0,0.0
30,11358.0,9708.0,8058.0,32.0,0.0
31,11358.0,9411.0,7464.0,33.0,0.0
32,11358.0,9373.0,7388.0,34.0,0.0
33,11358.0,9682.0,8006.0,35.0,0.0
34,11358.0,8461.0,5564.0,36.0,0.0
35,11358.0,9294.0,7230.0,37.0,0.0
36,11358.0,10575.5,9793.0,38.0,0.0
37,11358.0,10455.0,9552.0,39.0,0.0
38,11358.0,10285.0,9212.0,40.0,0.0
39,11358.0,9220.5,7083.0,41.0,0.0
40,11358.0,10911.5,10465.0,42.0,1.0
41,11358.0,11706.0,12054.0,43.0,1.0
42,6838.0,6231.5,5625.0,2.0,1.0
43,6838.0,7833.5,8829.0,3.0,0.0
44,6838.0,4972.5,3107.0,4.0,1.0
45,6838.0,9414.0,11990.0,5.0,1.0
46,6838.0,13221.5,19605.0,6.0,1.0
47,6838.0,8455.0,10072.0,7.0,1.0
48,6838.0,13999.5,21161.0,8.0,1.0
49,6838.0,11234.0,15630.0,9.0,1.0
50,6838.0,13133.5,19429.0,10.0,1.0
51,6838.0,11751.5,16665.0,11.0,1.0
52,6838.0,13003.0,19168.0,12.0,1.0
53,6838.0,12214.0,17590.0,13.0,1.0
54,6838.0,13616.5,20395.0,14.0,1.0
55,6838.0,13187.5,19537.0,15.0,1.0
56,6838.0,12712.0,18586.0,16.0,1.0
57,6838.0,8497.0,10156.0,17.0,1.0
58,6838.0,12457.5,18077.0,18.0,1.0
59,6838.0,14108.5,21379.0,19.0,1.0
60,6838.0,11745.5,16653.0,20.0,1.0
61,6838.0,9469.0,12100.0,21.0,1.0
62,6838.0,13493.0,20148.0,22.0,1.0
63,6838.0,12699.0,18560.0,23.0,1.0
64,6838.0,16180.0,25522.0,24.0,1.0
65,6838.0,14664.5,22491.0,25.0,1.0
66,6838.0,11239.5,15641.0,26.0,1.0
67,6838.0,15299.5,23761.0,27.0,1.0
68,6838.0,11214.0,15590.0,28.0,1.0
69,6838.0,12892.5,18947.0,29.0,1.0
70,6838.0,11308.0,15778.0,30.0,1.0
71,6838.0,13313.0,19788.0,31.0,1.0
72,6838.0,12207.0,17576.0,32.0,1.0
73,6838.0,11217.5,15597.0,33.0,1.0
74,6838.0,13230.5,19623.0,34.0,1.0
75,6838.0,11304.0,15770.0,35.0,1.0
76,6838.0,11224.5,15611.0,36.0,1.0
77,6838.0,10673.0,14508.0,37.0,1.0
78,6838.0,15619.5,24401.0,38.0,1.0
79,6838.0,11282.0,15726.0,39.0,1.0
80,6838.0,11017.0,15196.0,40.0,1.0
81,6838.0,13657.0,20476.0,41.0,1.0
82,6838.0,11842.0,16846.0,42.0,1.0
83,6838.0,13023.5,19209.0,43.0,1.0
84,9454.0,7021.5,4589.0,2.0,0.0
85,9454.0,8944.0,8434.0,3.0,0.0
86,9454.0,7365.5,5277.0,4.0,0.0
87,9454.0,8985.5,8517.0,5.0,1.0
88,9454.0,9944.0,10434.0,6.0,1.0
89,9454.0,10429.5,11405.0,7.0,1.0
90,9454.0,10894.0,12334.0,8.0,0.0
91,9454.0,9203.0,8952.0,9.0,0.0
92,9454.0,7146.0,4838.0,10.0,1.0
93,9454.0,10100.0,10746.0,11.0,1.0
94,9454.0,10037.5,10621.0,12.0,1.0
95,9454.0,9985.0,10516.0,13.0,1.0
96,9454.0,9955.0,10456.0,14.0,0.0
97,9454.0,7555.5,5657.0,15.0,1.0
98,9454.0,9572.0,9690.0,16.0,0.0
99,9454.0,8037.5,6621.0,17.0,1.0
100,9454.0,9653.0,9852.0,18.0,1.0
101,9454.0,10400.0,11346.0,19.0,1.0
102,9454.0,11023.5,12593.0,20.0,0.0
103,9454.0,8742.0,8030.0,21.0,0.0
104,9454.0,8906.5,8359.0,22.0,0.0
105,9454.0,7788.5,6123.0,23.0,1.0
106,9454.0,10530.5,11607.0,24.0,1.0
107,9454.0,9945.0,10436.0,25.0,1.0
108,9454.0,10646.5,11839.0,26.0,1.0
109,9454.0,10103.0,10752.0,27.0,0.0
110,9454.0,8953.0,8452.0,28.0,1.0
111,9454.0,10431.0,11408.0,29.0,0.0
112,9454.0,8657.5,7861.0,30.0,1.0
113,9454.0,11886.0,14318.0,31.0,0.0
114,9454.0,8031.5,6609.0,32.0,1.0
115,9454.0,10927.5,12401.0,33.0,0.0
116,9454.0,8340.0,7226.0,34.0,1.0
117,9454.0,9857.0,10260.0,35.0,1.0
118,9454.0,10322.5,11191.0,36.0,0.0
119,9454.0,9262.5,9071.0,37.0,0.0
120,9454.0,8970.0,8486.0,38.0,1.0
121,9454.0,9864.0,10274.0,39.0,1.0
122,9454.0,9713.0,9972.0,40.0,0.0
123,9454.0,8351.0,7248.0,41.0,0.0
124,9454.0,9141.5,8829.0,42.0,1.0
125,9454.0,10439.5,11425.0,43.0,0.0
126,5134.0,3795.5,2457.0,2.0,0.0
127,5134.0,3882.5,2631.0,3.0,0.0
128,5134.0,3168.0,1202.0,4.0,0.0
129,5134.0,4050.5,2967.0,5.0,0.0
130,5134.0,4806.0,4478.0,6.0,0.0
131,5134.0,5038.0,4942.0,7.0,0.0
132,5134.0,4856.5,4579.0,8.0,0.0
133,5134.0,4057.0,2980.0,9.0,0.0
134,5134.0,4549.5,3965.0,10.0,0.0
135,5134.0,3398.5,1663.0,11.0,0.0
136,5134.0,3921.5,2709.0,12.0,0.0
137,5134.0,5104.0,5074.0,13.0,0.0
138,5134.0,4908.5,4683.0,14.0,0.0
139,5134.0,4928.0,4722.0,15.0,0.0
140,5134.0,4775.5,4417.0,16.0,0.0
141,5134.0,4801.0,4468.0,17.0,0.0
142,5134.0,4871.5,4609.0,18.0,0.0
143,5134.0,4300.0,3466.0,19.0,0.0
144,5134.0,3852.0,2570.0,20.0,0.0
145,5134.0,4990.5,4847.0,21.0,1.0
146,5134.0,5249.0,5364.0,22.0,0.0
147,5134.0,4391.0,3648.0,23.0,0.0
148,5134.0,4817.5,4501.0,24.0,0.0
149,5134.0,4582.0,4030.0,25.0,0.0
150,5134.0,5110.5,5087.0,26.0,0.0
151,5134.0,4714.5,4295.0,27.0,0.0
152,5134.0,4315.0,3496.0,28.0,0.0
153,5134.0,5090.0,5046.0,29.0,0.0
154,5134.0,4985.0,4836.0,30.0,0.0
155,5134.0,4556.5,3979.0,31.0,0.0
156,5134.0,4878.0,4622.0,32.0,0.0
157,5134.0,4558.5,3983.0,33.0,0.0
158,5134.0,3565.0,1996.0,34.0,0.0
159,5134.0,4943.5,4753.0,35.0,0.0
160,5134.0,4862.5,4591.0,36.0,0.0
161,5134.0,4786.5,4439.0,37.0,0.0
162,5134.0,5057.0,4980.0,38.0,0.0
163,5134.0,4446.5,3759.0,39.0,0.0
164,5134.0,4885.5,4637.0,40.0,0.0
165,5134.0,4400.0,3666.0,41.0,0.0
166,5134.0,4351.5,3569.0,42.0,0.0
167,5134.0,4284.5,3435.0,43.0,0.0
168,631.0,696.5,762.0,2.0,1.0
169,631.0,896.5,1162.0,3.0,1.0
170,631.0,957.5,1284.0,4.0,1.0
171,631.0,1112.0,1593.0,5.0,1.0
172,631.0,955.0,1279.0,6.0,1.0
173,631.0,1261.0,1891.0,7.0,1.0
174,631.0,1380.5,2130.0,8.0,1.0
175,631.0,1214.5,1798.0,9.0,1.0
176,631.0,980.0,1329.0,10.0,1.0
177,631.0,1529.5,2428.0,11.0,1.0
178,631.0,945.0,1259.0,12.0,1.0
179,631.0,1005.0,1379.0,13.0,1.0
