,StepTotal,StepTotal.1,StepTotal.2,StepTotal.3,StepTotal.4,StepTotal.5,StepTotal.6,StepTotal.7,StepTotal.8,StepTotal.9,StepTotal.10,StepTotal.11,StepTotal.12,StepTotal.13,StepTotal.14,StepTotal.15,StepTotal.16,StepTotal.17,StepTotal.18,StepTotal.19,StepTotal.20,StepTotal.21,StepTotal.22,StepTotal.23,StepTotal.24,StepTotal.25,StepTotal.26,StepTotal.27,StepTotal.28,StepTotal.29,StepTotal.30
0,13162.0,10735.0,10460.0,9762.0,12669.0,9705.0,13019.0,15506.0,10544.0,9819.0,12764.0,14371.0,10039.0,15355.0,13755.0,18134.0,13154.0,11181.0,14673.0,10602.0,12207.0,12770.0,0.0,14727.0,15103.0,11100.0,14070.0,12159.0,11992.0,10060.0,12022.0
1,8163.0,7007.0,9107.0,1510.0,5370.0,6175.0,10536.0,2916.0,4974.0,6349.0,4026.0,8538.0,6076.0,6497.0,2826.0,8367.0,2759.0,2390.0,6474.0,36019.0,2969.0,3134.0,2971.0,7155.0,2100.0,2193.0,2470.0,1727.0,2104.0,3427.0,1732.0
2,10694.0,8001.0,11037.0,5263.0,15300.0,8757.0,7132.0,11256.0,2436.0,1223.0,3673.0,6637.0,3321.0,3580.0,9919.0,3032.0,9405.0,3176.0,18213.0,6132.0,9167.0,1329.0,,3758.0,12850.0,2309.0,4363.0,9787.0,13372.0,6724.0,6643.0
3,6697.0,4929.0,7937.0,3844.0,3414.0,4525.0,4597.0,197.0,8.0,8054.0,5372.0,3570.0,0.0,0.0,0.0,4.0,6907.0,4920.0,4014.0,2573.0,0.0,0.0,0.0,0.0,4059.0,2080.0,2237.0,44.0,0.0,0.0,0.0
4,678.0,356.0,2163.0,980.0,0.0,0.0,244.0,0.0,0.0,0.0,149.0,2945.0,2090.0,152.0,3761.0,0.0,1675.0,0.0,0.0,2704.0,0.0,0.0,0.0,3790.0,1326.0,1786.0,0.0,2091.0,1510.0,0.0,0.0
5,11875.0,12024.0,10690.0,11034.0,10100.0,15112.0,14131.0,11548.0,15112.0,12453.0,12954.0,6001.0,13481.0,11369.0,10119.0,10159.0,10140.0,10245.0,18387.0,10538.0,12798.0,13272.0,9117.0,10379.0,12183.0,11768.0,11895.0,10227.0,6708.0,3292.0,13379.0
6,4414.0,4993.0,3335.0,3821.0,2547.0,838.0,3325.0,2424.0,7222.0,2467.0,2915.0,12357.0,3490.0,6017.0,5933.0,6088.0,6375.0,7604.0,4729.0,3609.0,254.0,8580.0,8891.0,7018.0,5992.0,6564.0,12167.0,8198.0,4193.0,5528.0,10685.0
7,10725.0,7275.0,3973.0,5205.0,5057.0,6198.0,6559.0,5997.0,7192.0,3404.0,5583.0,5079.0,4165.0,3588.0,3409.0,1715.0,1532.0,924.0,4571.0,772.0,6227.0,6424.0,2661.0,3634.0,7443.0,1201.0,5202.0,4878.0,7379.0,5161.0,3090.0
8,10113.0,10352.0,10129.0,10465.0,22244.0,5472.0,8247.0,6711.0,10999.0,10080.0,7804.0,16901.0,9471.0,9482.0,5980.0,11423.0,5439.0,42.0,,,,,,,,,,,,,
9,8796.0,7618.0,7910.0,8482.0,9685.0,2524.0,7762.0,7948.0,9202.0,8859.0,7286.0,9317.0,6873.0,7373.0,8242.0,3516.0,7913.0,7365.0,8452.0,7399.0,8275.0,6440.0,7566.0,7525.0,7412.0,8278.0,8314.0,7063.0,4940.0,8168.0,7726.0
